#no,date,confirm,dead,heal,newAddConfirm,deadRate,healRate
67,04.04,1057294,57549,156928,99160,5.44,14.84
68,04.05,1143525,63219,175378,86231,5.53,15.34
69,04.06,1206183,67247,192982,62658,5.58,16.00
70,04.07,1281747,73164,214977,75564,5.71,16.77
71,04.08,1366952,80219,230959,85205,5.87,16.90
72,04.09,1450303,86562,262129,83351,5.97,18.07
73,04.10,1538640,93911,287342,88336,6.10,18.68
74,04.11,1637683,101442,311623,99043,6.19,19.03
75,04.12,1716963,107534,334654,79280,6.26,19.49
76,04.13,1788161,112738,363735,71198,6.30,20.34
77,04.14,1858355,118361,386814,70194,6.37,20.81
78,04.15,1934291,125503,423376,75936,6.49,21.89
79,04.16,2017483,136057,449794,82740,6.74,22.29
80,04.17,2098707,142129,478319,85816,6.77,22.79
81,04.18,2190113,151484,501814,85709,6.92,22.91
82,04.19,2271717,157414,527171,79164,6.93,23.21
83,04.20,2339647,161600,558142,70814,6.91,23.86
84,04.21,2416345,167154,581623,74333,6.92,24.07
85,04.22,2509897,175122,619876,86197,6.98,24.70
86,04.23,2574719,180838,645090,78989,7.02,25.05
87,04.24,2659664,188326,674433,96599,7.08,25.36
88,04.25,2756365,194610,724555,96968,7.06,26.29
89,04.26,2835787,199014,750508,71399,7.02,26.47
90,04.27,2908094,202861,797349,69546,6.98,27.42
91,04.28,2980553,207725,828425,73895,6.97,27.79
92,04.29,3059873,214035,870215,82600,6.99,28.44
93,04.30,3141226,224299,914534,83860,7.14,29.11
94,05.01,3240690,229405,970742,86783,7.08,29.95
95,05.02,3339282,235846,1013416,90049,7.06,30.35
96,05.03,3395941,240056,1040310,57911,7.07,30.63
97,05.04,3506189,244463,1086279,106412,6.97,30.98
98,05.05,3588157,248699,1130967,80972,6.93,31.52
99,05.06,3668152,254633,1172769,82916,6.94,31.97
100,05.07,3763009,261231,1232323,98929,6.94,32.75
101,05.08,3860594,266936,1274306,97216,6.91,33.01
102,05.09,3958892,272601,1319939,94660,6.89,33.34
103,05.10,4044639,276389,1385267,80552,6.83,34.25
104,05.11,4127234,280027,1424467,80462,6.78,34.51
105,05.12,4205093,284025,1461448,81225,6.75,34.75
106,05.13,4289731,289710,1538463,83547,6.75,35.86
107,05.14,4379103,294595,1594521,94906,6.73,36.41
108,05.15,4477725,299924,1642422,98069,6.70,36.68
109,05.16,4573159,304919,1692348,92230,6.67,37.01
110,05.17,4663087,308971,1746400,86331,6.63,37.45
111,05.18,4746857,312564,1790852,86509,6.58,37.73
112,05.19,4836178,316075,1844422,86980,6.54,38.14
113,05.20,4929628,320847,1898592,94569,6.51,38.51
114,05.21,5032360,325876,1959880,108771,6.48,38.95
115,05.22,5132438,330426,2015946,96101,6.44,39.28
116,05.23,5253256,335858,2130809,118665,6.39,40.56
117,05.24,5345699,339536,2190948,90202,6.35,40.99
118,05.25,5448370,342515,2239185,102853,6.29,41.10
119,05.26,5531463,345818,2309677,82834,6.25,41.76
120,05.27,5627372,348566,2375228,97778,6.19,42.21
121,05.28,5733681,353362,2441074,108439,6.16,42.57
122,05.29,5854300,358194,2521804,123030,6.12,43.08
123,05.30,5972350,362738,2599578,116271,6.07,43.53
124,05.31,6108396,367080,2677877,133106,6.01,43.84
125,06.01,6210041,369797,2782602,103448,5.95,44.81
126,06.02,6315311,373408,2844119,104999,5.91,45.04
127,06.03,6386214,377359,2876315,69599,5.91,45.04
128,06.04,6556454,383951,3007773,171930,5.86,45.87
129,06.05,6689166,389459,3090922,135837,5.82,46.21
130,06.06,6833081,393287,3240721,125094,5.76,47.43
131,06.07,6966334,398169,3326420,129322,5.72,47.75
132,06.08,7072988,400713,3382493,106793,5.67,47.82
133,06.09,7178904,404574,3543084,105928,5.64,49.35
134,06.10,7280933,409109,3616909,103825,5.62,49.68
135,06.11,7436665,414928,3729975,155732,5.58,50.16
136,06.12,7577330,419872,3808203,144586,5.54,50.26
137,06.13,7715414,424022,3910560,138084,5.50,50.69
138,06.14,7847532,428110,3998708,126736,5.46,50.95
139,06.15,7973787,431565,4072881,126973,5.41,51.08
140,06.16,8098293,435252,4186405,128161,5.37,51.69
141,06.17,8236018,441942,4267863,138346,5.37,51.82
142,06.18,8416451,447283,4395687,181030,5.31,52.23
143,06.19,8552443,452333,4484462,141607,5.29,52.43
144,06.20,8729804,458305,4592199,177210,5.25,52.60
145,06.21,8855537,462541,4707010,118424,5.22,53.15
146,06.22,9018053,466425,4779085,167933,5.17,52.99
147,06.23,9163341,470281,4884904,149807,5.13,53.31
148,06.24,9327731,475748,4999059,167478,5.10,53.59
149,06.25,9509393,481084,5126992,182743,5.06,53.92
150,06.26,9689712,488158,5226191,186343,5.04,53.94
151,06.27,9878786,492901,5336305,184287,4.99,54.02
152,06.28,10060911,497424,5447401,179084,4.94,54.14
153,06.29,10224925,500543,5538848,168208,4.90,54.17
154,06.30,10380136,504770,5639211,156519,4.86,54.33
155,07.01,10558100,510215,5774353,178406,4.83,54.69
156,07.02,10777104,514990,5917947,224140,4.78,54.91
157,07.03,10956618,520057,6162217,178687,4.75,56.24
158,07.04,11167650,524022,6323547,201310,4.69,56.62
159,07.05,11356550,529572,6447084,185052,4.66,56.77
160,07.06,11536202,532970,6569443,183522,4.62,56.95
161,07.07,11710288,536826,6706365,164155,4.58,57.27
162,07.08,11926929,542988,6874838,222238,4.55,57.64
163,07.09,12137764,548158,7047448,210054,4.52,58.06
164,07.10,12365469,553588,7199235,232145,4.48,58.22
165,07.11,12590886,558782,7355049,215349,4.44,58.42
166,07.12,12811740,563685,7490846,216195,4.40,58.47
167,07.13,13005323,567636,7626890,198477,4.36,58.64
168,07.14,13202960,571700,7781916,196379,4.33,58.94
169,07.15,13431839,577667,7964545,234955,4.30,59.30
170,07.16,13659498,582893,8144254,229297,4.27,59.62
171,07.17,13915343,588911,8305358,252634,4.23,59.68
172,07.18,14162835,595344,8526425,233376,4.20,60.20
173,07.19,14392098,600786,8671480,232683,4.17,60.25
174,07.20,14614511,604802,8826002,221413,4.14,60.39
175,07.21,14822081,608952,9005509,208777,4.11,60.76
176,07.22,15059888,615410,9193218,237148,4.09,61.04
177,07.23,15345966,622524,9422581,282888,4.06,61.40
178,07.24,15628024,632539,9619649,290624,4.05,61.55
179,07.25,15858719,638611,9880816,214335,4.03,62.31
180,07.26,16168257,643338,10052933,300541,3.98,62.18
181,07.27,16379816,647651,10204233,214612,3.95,62.30
182,07.28,16609335,652322,10402813,228436,3.93,62.63
183,07.29,16868882,659436,10610911,252195,3.91,62.90
184,07.30,17085666,664600,10772335,282580,3.89,63.05
185,07.31,17420475,672305,11030364,271844,3.86,63.32
186,08.01,17712830,678732,11234297,278079,3.83,63.42
187,08.02,17990118,684635,11472433,263746,3.81,63.77
188,08.03,18202259,688611,11629660,210669,3.78,63.89
189,08.04,18415042,693405,11859329,213272,3.77,64.40
190,08.05,18674281,700004,12107687,258141,3.75,64.84
191,08.06,18944114,706774,12334656,273296,3.73,65.11
192,08.07,19228449,713397,12553767,288871,3.71,65.29
193,08.08,19508000,719659,12744433,268099,3.69,65.33
194,08.09,19771870,725332,12935418,262027,3.67,65.42
195,08.10,20001674,729661,13125522,234390,3.65,65.62
196,08.11,20224894,734868,13404618,219992,3.63,66.28
197,08.12,20493232,741874,13642002,268172,3.62,66.57
198,08.13,20770927,748337,13897236,278714,3.60,66.91
199,08.14,21057439,758413,14079852,291748,3.60,66.86
200,08.15,21345517,764711,14338480,283936,3.58,67.17
201,08.16,21589534,769619,14526330,230272,3.56,67.28
202,08.17,21811490,773977,14766756,228660,3.55,67.70
203,08.18,22011066,772964,15000227,197670,3.51,68.15
204,08.19,22271790,780086,15238244,261734,3.50,68.42
205,08.20,22546429,786856,15485175,275023,3.49,68.68
206,08.21,22801070,793106,15701599,263470,3.48,68.86
207,08.22,23088608,798948,15901590,264658,3.46,68.87
208,08.23,23339500,804212,16110888,242569,3.45,69.03
209,08.24,23552150,808200,16311400,225066,3.43,69.26
210,08.25,23772621,812682,16550627,208235,3.42,69.62
211,08.26,24023751,819169,16788670,255669,3.41,69.88
212,08.27,24302697,825511,17040345,280595,3.40,70.12
213,08.28,24591193,831244,17258787,270635,3.38,70.18
214,08.29,24874662,836989,17466177,276711,3.36,70.22
215,08.30,25134770,842406,17708469,255075,3.35,70.45
216,08.31,25339645,845845,17889280,213106,3.34,70.60
217,09.01,25601774,850410,18107974,260800,3.32,70.73
218,09.02,25878271,856999,18385297,271933,3.31,71.05
219,09.03,26143490,862872,18623978,276560,3.30,71.24
220,09.04,26445557,868912,18841490,310413,3.29,71.25
221,09.05,26764246,874688,19094216,282854,3.27,71.34
222,09.06,27022914,879455,19372540,252186,3.25,71.69
223,09.07,27253420,888605,19539331,231236,3.26,71.69
224,09.08,27455318,892615,19773040,199158,3.25,72.02
225,09.09,27701529,897522,19999291,252799,3.24,72.20
226,09.10,27998245,903865,20247762,300283,3.23,72.32
227,09.11,28299711,909651,20489112,309378,3.21,72.40
228,09.12,28633177,915618,20729531,306818,3.20,72.40
229,09.13,28895248,920120,20979770,258282,3.18,72.61
230,09.14,29145649,924152,21147695,261324,3.17,72.56
231,09.15,29407817,928473,21422994,243774,3.16,72.85
232,09.16,29705502,935109,21673008,298981,3.15,72.96
233,09.17,30006765,941035,21920685,307404,3.14,73.05
234,09.18,30327714,946417,22160955,325999,3.12,73.07
235,09.19,30674273,952262,22433760,308761,3.10,73.14
236,09.20,30938978,957184,22705597,261284,3.09,73.39
237,09.21,31211286,960811,22916143,276012,3.08,73.42
238,09.22,31452644,965095,23192927,226429,3.07,73.74
239,09.23,31760912,971424,23455342,298163,3.06,73.85
240,09.24,32035144,977004,23715005,277971,3.05,74.03
241,09.25,32400124,983501,23971870,372691,3.04,73.99
242,09.26,32741512,989355,24247882,299014,3.02,74.06
243,09.27,33017634,994516,24509259,270649,3.01,74.23
244,09.28,33271017,998057,24726248,261141,3.00,74.32
245,09.29,33528855,1002407,24985190,251154,2.99,74.52
246,09.30,33823727,1008581,25245044,291266,2.98,74.64
247,10.01,34146687,1014721,25516941,329213,2.97,74.73
248,10.02,34473575,1023760,25750133,330902,2.97,74.70
249,10.03,34807125,1029107,25972577,299345,2.96,74.62
250,10.04,35097573,1033815,26239384,276713,2.95,74.76
251,10.05,35379639,1037759,26457570,291298,2.93,74.78
252,10.06,35706194,1044807,26727856,287551,2.93,74.85
253,10.07,36055016,1050858,26971837,354435,2.91,74.81
254,10.08,36407740,1056734,27232395,355898,2.90,74.80
255,10.09,36772341,1062824,27471726,361100,2.89,74.71
256,10.10,37100902,1068640,27691666,318722,2.88,74.64
257,10.11,37422854,1073521,27927616,318846,2.87,74.63
258,10.12,37747633,1077481,28138135,330063,2.85,74.54
259,10.13,38038647,1081493,28371536,278182,2.84,74.59
260,10.14,38418385,1087395,28592069,386970,2.83,74.42
261,10.15,38760160,1093140,28818465,348111,2.82,74.35
262,10.16,39199544,1099294,29050162,422470,2.80,74.11
263,10.17,39605331,1105628,29299605,390460,2.79,73.98
264,10.18,39941690,1110707,29525533,339082,2.78,73.92
265,10.19,40317504,1114572,29729826,400176,2.76,73.74
266,10.20,40675340,1119412,29950139,329553,2.75,73.63
267,10.21,41085707,1126085,30178831,410376,2.74,73.45
268,10.22,41538423,1132965,30429162,462505,2.73,73.26
269,10.23,42055152,1138975,30676570,498213,2.71,72.94
270,10.24,42533835,1145840,30907721,472830,2.69,72.67
271,10.25,42970832,1151059,31128880,436758,2.68,72.44
272,10.26,43380982,1155398,31331331,438595,2.66,72.22
273,10.27,43830295,1161167,31599628,422051,2.65,72.10
274,10.28,44294846,1168779,32218469,470885,2.64,72.74
275,10.29,44835186,1176068,32496155,549147,2.62,72.48
276,10.30,45413967,1183268,32765100,567565,2.61,72.15
277,10.31,45956236,1190927,33028835,525032,2.59,71.87
278,11.01,46431885,1197178,33321069,486272,2.58,71.76
279,11.02,46867507,1202029,33592906,478801,2.56,71.68
280,11.03,47319352,1208324,33891844,422446,2.55,71.62
281,11.04,47920680,1216863,34207316,584732,2.54,71.38
282,11.05,48523195,1228179,34520499,611892,2.53,71.14
283,11.06,49122564,1237046,34830817,626553,2.52,70.91
284,11.07,49748179,1246082,35141555,610783,2.50,70.64
285,11.08,50229058,1253016,35420916,481889,2.49,70.52
286,11.09,50795103,1258887,35663503,608588,2.48,70.21
287,11.10,51189307,1264505,35796120,376451,2.47,69.93
288,11.11,51728002,1273573,36063364,544275,2.46,69.72
289,11.12,52519873,1286937,36531542,803965,2.45,69.56
290,11.13,53146429,1296400,36914366,642513,2.44,69.46
291,11.14,53745632,1305224,37230432,579487,2.43,69.27
292,11.15,54304906,1313652,37550295,557220,2.42,69.15
293,11.16,54821106,1319259,37795151,559379,2.41,68.94
294,11.17,55421439,1329853,38256619,569383,2.40,69.03
295,11.18,56016927,1341199,38689035,611466,2.39,69.07
296,11.19,56654985,1352596,39099890,655883,2.39,69.01
297,11.20,57343796,1363856,39477958,677546,2.38,68.84
298,11.21,57985912,1375160,39853091,610941,2.37,68.73
299,11.22,58546604,1383011,40202584,536535,2.36,68.67
300,11.23,59038363,1390627,40523764,541023,2.36,68.64
301,11.24,59611800,1399911,40933120,550884,2.35,68.67
302,11.25,60188972,1412873,41331861,580242,2.35,68.67
303,11.26,60807442,1424747,41801231,543578,2.34,68.74
304,11.27,61403665,1435599,42157142,642300,2.34,68.66
305,11.28,62054982,1446211,42584599,589112,2.33,68.62
306,11.29,62633939,1455329,42948654,440282,2.32,68.57
